discipline,angle_en,angle_zh,category,aliases,note
自动化,SLAM,同步定位与建图,task,"simultaneous localization and mapping|visual SLAM",
自动化,motion planning,运动规划,task,"path planning|trajectory optimization",
自动化,human-robot interaction,人机交互,emerging,"HRI|collaborative robot",
自动化,soft robotics,软体机器人,emerging,"soft actuator|compliant mechanism",
自动化,imitation learning,模仿学习,emerging,"behavior cloning|learning from demonstration",
自动化,sim-to-real transfer,虚实迁移,emerging,"sim2real|domain randomization",
自动化,event-triggered control,事件触发控制,emerging,"event-based control",
自动化,networked control system,网络化控制系统,mainstream,"cyber-physical system",
自动化,observer design,观测器设计,mainstream,"state estimation|Kalman filter",
# ===== 机械与制造 =====
机械,additive manufacturing,增材制造,emerging,"3D printing|selective laser melting",
机械,topology optimization,拓扑优化,mainstream,"structural optimization|generative design",
机械,finite element analysis,有限元分析,method,"FEA|FEM simulation",方法类
机械,fatigue life prediction,疲劳寿命预测,task,"fatigue analysis|crack propagation",
机械,remaining useful life,剩余寿命预测,task,"RUL prediction|prognostics",
机械,vibration analysis,振动分析,task,"modal analysis|vibration suppression",
机械,tribology,摩擦学,mainstream,"friction and wear|lubrication",
机械,precision machining,精密加工,task,"ultra-precision|micro machining",
机械,metamaterial,超材料,emerging,"mechanical metamaterial|auxetic",
机械,compliant mechanism,柔性机构,mainstream,"flexure mechanism",
机械,gear transmission,齿轮传动,mainstream,"gearbox|transmission system",
机械,digital manufacturing,数字化制造,emerging,"smart manufacturing|Industry 4.0",
机械,noise vibration harshness,振动噪声,quality,"NVH|acoustic comfort",
机械,multibody dynamics,多体动力学,method,"rigid body dynamics",方法类
# ===== 材料科学 =====
材料,perovskite,钙钛矿,emerging,"perovskite material|halide perovskite",
材料,high entropy alloy,高熵合金,emerging,"multi-principal element alloy",
材料,two-dimensional material,二维材料,emerging,"graphene|MXene|transition metal dichalcogenide",
材料,metal organic framework,金属有机框架,emerging,"MOF|porous framework",
材料,solid state electrolyte,固态电解质,emerging,"solid electrolyte|all-solid-state battery",
材料,defect passivation,缺陷钝化,mainstream,"surface passivation|interface engineering",
材料,density functional theory,密度泛函理论,method,"DFT|first-principles calculation",方法类
材料,molecular dynamics,分子动力学,method,"MD simulation",方法类
材料,high-throughput screening,高通量筛选,emerging,"materials screening|combinatorial",
材料,machine learning potential,机器学习势,emerging,"neural network potential|MLIP",
材料,in situ characterization,原位表征,emerging,"operando|in-situ TEM",
材料,self-healing material,自修复材料,emerging,"self-healing polymer",
材料,thermoelectric,热电材料,mainstream,"thermoelectric performance|ZT value",
材料,corrosion resistance,耐腐蚀性,quality,"corrosion protection|coating",
材料,mechanical property,力学性能,quality,"strength and ductility|toughness",
材料,recyclability,可回收性,quality,"circular economy material|recycling",
材料,biodegradable material,可降解材料,emerging,"biodegradable polymer",
材料,thin film deposition,薄膜沉积,task,"ALD|CVD|sputtering",
# ===== 化学与化工 =====
化学,electrocatalysis,电催化,emerging,"electrocatalyst|oxygen evolution reaction",
化学,photocatalysis,光催化,mainstream,"photocatalyst|solar fuel",
化学,single atom catalyst,单原子催化剂,emerging,"atomically dispersed catalyst",
化学,carbon capture,碳捕集,emerging,"CO2 capture|carbon sequestration",
化学,green chemistry,绿色化学,quality,"sustainable synthesis|atom economy",
化学,flow chemistry,流动化学,emerging,"continuous flow synthesis|microreactor",
化学,asymmetric catalysis,不对称催化,mainstream,"enantioselective|chiral catalyst",
化学,process intensification,过程强化,emerging,"process integration",
化学,reaction mechanism,反应机理,task,"mechanistic study|kinetics",
化学,separation membrane,分离膜,mainstream,"membrane separation|pervaporation",
化学,supramolecular chemistry,超分子化学,mainstream,"host-guest|self-assembly",
化学,electrochemical sensor,电化学传感器,task,"biosensor|amperometric sensor",
化学,retrosynthesis prediction,逆合成预测,emerging,"computer-aided synthesis|retrosynthesis",
化学,process safety,过程安全,quality,"hazard analysis|runaway reaction",
# ===== 物理 =====
物理,topological phase,拓扑相,emerging,"topological insulator|topological material",
物理,quantum entanglement,量子纠缠,mainstream,"entangled state|quantum correlation",
物理,quantum error correction,量子纠错,emerging,"error correcting code|fault-tolerant quantum",
物理,cold atom,冷原子,mainstream,"ultracold gas|Bose-Einstein condensate",
物理,gravitational wave,引力波,emerging,"LIGO|gravitational wave detection",
物理,dark matter,暗物质,mainstream,"dark matter detection",
物理,plasma confinement,等离子体约束,mainstream,"tokamak|fusion plasma",
物理,nonlinear optics,非线性光学,mainstream,"second harmonic|frequency conversion",
物理,optomechanics,光力学,emerging,"cavity optomechanics",
物理,superconductivity,超导,mainstream,"superconductor|critical temperature",
物理,spintronics,自旋电子学,emerging,"spin current|skyrmion",
物理,machine learning for physics,机器学习辅助物理,emerging,"physics-informed neural network|PINN",
物理,quantum sensing,量子传感,emerging,"quantum metrology|NV center",
# ===== 数学与统计 =====
数学,optimal transport,最优传输,emerging,"Wasserstein distance",
数学,bayesian inference,贝叶斯推断,method,"MCMC|variational inference",方法类
数学,high dimensional statistics,高维统计,emerging,"sparse estimation|lasso",
数学,topological data analysis,拓扑数据分析,emerging,"persistent homology|TDA",
数学,stochastic differential equation,随机微分方程,mainstream,"SDE|stochastic process",
数学,numerical scheme,数值方法,method,"finite difference|spectral method",方法类
数学,optimization algorithm,优化算法,mainstream,"convex optimization|gradient method",
数学,graph theory,图论,mainstream,"network topology|spectral graph",
数学,inverse problem,反问题,task,"ill-posed problem|regularization",
数学,uncertainty propagation,不确定性传播,quality,"error propagation",
数学,causal discovery,因果发现,emerging,"structure learning|DAG learning",
数学,survival analysis,生存分析,method,"time-to-event|Cox model",方法类
# ===== 土木与建筑 =====
土木,structural health monitoring,结构健康监测,task,"SHM|damage detection",
土木,seismic performance,抗震性能,task,"earthquake resistance|seismic design",
土木,building information modeling,建筑信息模型,mainstream,"BIM|digital construction",
土木,low carbon concrete,低碳混凝土,emerging,"geopolymer|supplementary cementitious material",
土木,soil structure interaction,土-结构相互作用,mainstream,"geotechnical interaction",
土木,tunnel engineering,隧道工程,task,"tunnel boring|underground excavation",
土木,bridge monitoring,桥梁监测,task,"bridge inspection|cable-stayed bridge",
土木,urban heat island,城市热岛,task,"urban microclimate",
土木,prefabricated construction,装配式建造,emerging,"modular construction|prefabrication",
土木,life cycle assessment,生命周期评价,method,"LCA|embodied carbon",方法类
土木,slope stability,边坡稳定,task,"landslide|slope failure",
土木,pavement performance,路面性能,task,"asphalt pavement|pavement design",
# ===== 能源与动力 =====
能源,lithium ion battery,锂离子电池,mainstream,"Li-ion battery|cathode material",
能源,sodium ion battery,钠离子电池,emerging,"Na-ion battery",
能源,hydrogen production,制氢,emerging,"water splitting|green hydrogen|electrolysis",
能源,fuel cell,燃料电池,mainstream,"PEMFC|solid oxide fuel cell",
能源,energy storage system,储能系统,mainstream,"grid storage|battery management",
能源,photovoltaic efficiency,光伏效率,mainstream,"solar cell efficiency|tandem solar cell",
能源,wind turbine,风力发电,mainstream,"wind energy|wind farm",
能源,smart grid,智能电网,mainstream,"grid integration|demand response",
能源,virtual power plant,虚拟电厂,emerging,"aggregated flexibility",
能源,carbon neutrality pathway,碳中和路径,emerging,"net zero|decarbonization pathway",
能源,thermal management,热管理,task,"battery thermal|cooling system",
能源,combustion optimization,燃烧优化,task,"combustion efficiency|emission reduction",
能源,nuclear reactor safety,核反应堆安全,quality,"reactor safety analysis",
能源,power system stability,电力系统稳定,quality,"transient stability|frequency regulation",
# ===== 环境科学 =====
环境,microplastic,微塑料,emerging,"microplastics pollution|nanoplastic",
环境,PFAS,全氟化合物,emerging,"per- and polyfluoroalkyl substances|forever chemicals",
环境,air quality modeling,空气质量模拟,task,"PM2.5 modeling|atmospheric dispersion",
环境,water treatment,水处理,mainstream,"wastewater treatment|advanced oxidation",
环境,soil remediation,土壤修复,task,"contaminated soil|phytoremediation",
环境,greenhouse gas emission,温室气体排放,task,"GHG inventory|emission accounting",
环境,ecosystem service,生态系统服务,mainstream,"ecosystem valuation",
环境,biodiversity loss,生物多样性丧失,task,"species decline|habitat fragmentation",
环境,circular economy,循环经济,emerging,"waste valorization|resource recovery",
环境,environmental DNA,环境DNA,emerging,"eDNA monitoring|metabarcoding",
环境,climate adaptation,气候适应,emerging,"climate resilience|adaptation planning",
环境,exposure assessment,暴露评估,method,"exposome|risk assessment",方法类
# ===== 地球科学 =====
地球,remote sensing,遥感,mainstream,"satellite imagery|hyperspectral",
地球,seismic imaging,地震成像,task,"full waveform inversion|seismic tomography",
地球,groundwater modeling,地下水模拟,task,"aquifer|hydrogeology",
地球,permafrost,永久冻土,emerging,"permafrost thaw",
地球,carbon cycle,碳循环,mainstream,"carbon flux|carbon sink",
地球,extreme weather attribution,极端天气归因,emerging,"event attribution|climate attribution",
地球,digital elevation model,数字高程模型,method,"DEM|LiDAR terrain",方法类
地球,mineral exploration,矿产勘探,task,"ore deposit|geochemical exploration",
地球,paleoclimate reconstruction,古气候重建,method,"proxy record|ice core",方法类
地球,land use change,土地利用变化,task,"land cover change|urbanization mapping",
# ===== 生物学与生物技术 =====
生物,single-cell sequencing,单细胞测序,emerging,"single-cell RNA-seq|scRNA-seq",
生物,spatial transcriptomics,空间转录组,emerging,"spatial omics",
生物,CRISPR gene editing,CRISPR基因编辑,emerging,"gene editing|base editing|prime editing",
生物,protein structure prediction,蛋白质结构预测,emerging,"AlphaFold|structure prediction",
生物,synthetic biology,合成生物学,emerging,"genetic circuit|metabolic engineering",
生物,multi-omics integration,多组学整合,emerging,"integrative omics",
生物,organoid,类器官,emerging,"organ-on-chip|3D culture",
生物,microbiome,微生物组,emerging,"gut microbiota|metagenomics",
生物,epigenetic regulation,表观遗传调控,mainstream,"DNA methylation|histone modification",
生物,cryo-electron microscopy,冷冻电镜,method,"cryo-EM|structural biology",方法类
生物,directed evolution,定向进化,mainstream,"protein engineering",
生物,liquid biopsy,液体活检,emerging,"circulating tumor DNA|ctDNA",
生物,phage therapy,噬菌体治疗,emerging,"bacteriophage",
生物,extracellular vesicle,细胞外囊泡,emerging,"exosome",
# ===== 医学（临床） =====
医学,artificial intelligence diagnosis,人工智能诊断,emerging,"AI-assisted diagnosis|computer-aided diagnosis",
医学,immunotherapy,免疫治疗,mainstream,"checkpoint inhibitor|CAR-T",
医学,precision medicine,精准医学,emerging,"personalized treatment|pharmacogenomics",
医学,biomarker discovery,生物标志物发现,task,"prognostic biomarker|diagnostic marker",
医学,radiomics,影像组学,emerging,"radiogenomics|quantitative imaging",
医学,wearable monitoring,可穿戴监测,emerging,"remote monitoring|digital biomarker",
医学,minimally invasive surgery,微创手术,mainstream,"laparoscopic|robotic surgery",
医学,drug repurposing,药物再利用,emerging,"drug repositioning",
医学,antimicrobial resistance,抗生素耐药,task,"antibiotic resistance|AMR",
医学,gut brain axis,肠脑轴,emerging,"microbiota-gut-brain",
医学,patient reported outcome,患者报告结局,quality,"PRO|quality of life measure",
医学,clinical decision support,临床决策支持,deployment,"CDSS|clinical prediction model",
医学,health disparity,健康不平等,quality,"health equity|social determinant",
医学,mendelian randomization,孟德尔随机化,method,"MR analysis|genetic instrument",方法类
医学,real world evidence,真实世界证据,method,"RWE|observational data",方法类
# ===== 公共卫生与流行病学 =====
公卫,epidemic modeling,传染病建模,mainstream,"SEIR model|infectious disease model",
公卫,vaccine hesitancy,疫苗犹豫,task,"vaccine acceptance|immunization uptake",
公卫,health policy evaluation,卫生政策评估,method,"policy impact|difference-in-differences",方法类
公卫,digital health intervention,数字健康干预,emerging,"mHealth|eHealth intervention",
公卫,syndromic surveillance,症状监测,task,"disease surveillance|early warning",
公卫,social determinants of health,健康社会决定因素,mainstream,"socioeconomic health",
公卫,mental health screening,心理健康筛查,task,"depression screening|anxiety screening",
公卫,antimicrobial stewardship,抗菌药物管理,task,"stewardship program",
公卫,climate health,气候与健康,emerging,"heat health|climate-sensitive disease",
公卫,cost effectiveness analysis,成本效果分析,method,"health economic evaluation|QALY",方法类
# ===== 药学 =====
药学,drug delivery,药物递送,mainstream,"nanoparticle delivery|targeted delivery",
药学,mRNA vaccine,mRNA疫苗,emerging,"lipid nanoparticle|mRNA therapeutics",
药学,antibody drug conjugate,抗体药物偶联,emerging,"ADC",
药学,PROTAC,蛋白降解靶向嵌合体,emerging,"targeted protein degradation",
药学,pharmacokinetics,药代动力学,method,"PK/PD modeling|ADME",方法类
药学,AI drug discovery,AI药物发现,emerging,"generative drug design|virtual screening",
药学,formulation optimization,制剂优化,task,"solubility enhancement|bioavailability",
药学,natural product,天然产物,mainstream,"phytochemical|bioactive compound",
药学,drug safety signal,药物安全信号,quality,"pharmacovigilance|adverse event",
# ===== 神经科学 =====
神经,brain computer interface,脑机接口,emerging,"BCI|neural interface",
神经,neural decoding,神经解码,emerging,"neural population decoding",
神经,connectome,连接组,emerging,"brain connectivity|functional connectome",
神经,neuromodulation,神经调控,emerging,"deep brain stimulation|TMS",
神经,neurodegeneration,神经退行性变,mainstream,"Alzheimer|Parkinson pathology",
神经,neural oscillation,神经振荡,mainstream,"EEG rhythm|oscillatory dynamics",
神经,computational psychiatry,计算精神病学,emerging,"computational model of psychiatry",
神经,optogenetics,光遗传学,mainstream,"optogenetic stimulation",
神经,neuroimaging analysis,神经影像分析,method,"fMRI analysis|DTI",方法类
神经,plasticity,可塑性,mainstream,"synaptic plasticity|learning and memory",
# ===== 农学 =====
农学,precision agriculture,精准农业,emerging,"smart farming|variable rate application",
农学,crop yield prediction,作物产量预测,task,"yield forecasting",
农学,plant disease detection,植物病害检测,task,"crop disease identification",
农学,drought tolerance,抗旱性,task,"drought stress|water use efficiency",
农学,soil health,土壤健康,quality,"soil quality|soil organic carbon",
农学,genomic selection,基因组选择,emerging,"genomic prediction|marker-assisted",
农学,vertical farming,垂直农业,emerging,"controlled environment agriculture",
农学,integrated pest management,综合虫害管理,mainstream,"IPM|biological control",
农学,livestock monitoring,畜禽监测,task,"animal welfare monitoring|precision livestock",
农学,food security,粮食安全,mainstream,"food system resilience",
农学,phenotyping,表型组学,emerging,"high-throughput phenotyping|plant phenomics",
# ===== 经济与金融 =====
经济,machine learning forecasting,机器学习预测,emerging,"ML prediction in economics",
经济,difference in differences,双重差分,method,"DID|staggered adoption",方法类
经济,instrumental variable,工具变量,method,"IV estimation|2SLS",方法类
经济,regression discontinuity,断点回归,method,"RDD",方法类
经济,synthetic control,合成控制,method,"synthetic control method",方法类
经济,field experiment,田野实验,method,"randomized field trial",方法类
经济,network effect,网络效应,mainstream,"platform economics|two-sided market",
经济,behavioral economics,行为经济学,mainstream,"nudge|bounded rationality",
经济,systemic risk,系统性风险,task,"financial contagion|stress test",
经济,cryptocurrency,加密货币,emerging,"digital asset|DeFi|stablecoin",
经济,ESG investing,ESG投资,emerging,"sustainable finance|green bond",
经济,income inequality,收入不平等,task,"wealth distribution|inequality measurement",
经济,labor market automation,劳动力自动化,emerging,"AI and employment|task displacement",
经济,supply chain resilience,供应链韧性,emerging,"supply chain disruption",
经济,text as data,文本数据方法,emerging,"NLP in economics|textual analysis",
# ===== 管理与商业 =====
管理,digital transformation,数字化转型,emerging,"digitalization strategy",
管理,platform governance,平台治理,emerging,"platform ecosystem|marketplace design",
管理,dynamic capability,动态能力,mainstream,"capability building",
管理,open innovation,开放式创新,mainstream,"crowdsourcing innovation",
管理,corporate social responsibility,企业社会责任,mainstream,"CSR|sustainability reporting",
管理,human AI collaboration,人机协作,emerging,"algorithmic management|AI augmentation",
管理,agile organization,敏捷组织,emerging,"agile transformation",
管理,knowledge management,知识管理,mainstream,"organizational learning",
管理,entrepreneurial ecosystem,创业生态,emerging,"startup ecosystem",
管理,operations optimization,运营优化,task,"inventory optimization|scheduling",
管理,customer analytics,客户分析,task,"churn prediction|customer lifetime value",
管理,gig economy,零工经济,emerging,"platform labor|freelance work",
# ===== 心理学 =====
心理,ecological momentary assessment,生态瞬时评估,method,"EMA|experience sampling",方法类
心理,digital phenotyping,数字表型,emerging,"smartphone sensing|passive sensing",
心理,network analysis of symptoms,症状网络分析,emerging,"psychopathology network",
心理,cognitive training,认知训练,task,"brain training|cognitive intervention",
心理,mindfulness intervention,正念干预,mainstream,"MBSR|meditation intervention",
心理,social media use wellbeing,社交媒体与幸福感,task,"screen time wellbeing",
心理,implicit bias,隐性偏见,mainstream,"implicit association",
心理,emotion regulation,情绪调节,mainstream,"affect regulation",
心理,replication crisis,可重复性危机,quality,"preregistration|open science practice",
心理,computational modeling of behavior,行为计算建模,emerging,"cognitive model|drift diffusion",
心理,cross cultural comparison,跨文化比较,method,"cultural psychology comparison",方法类
心理,loneliness,孤独感,task,"social isolation",
# ===== 教育学 =====
教育,learning analytics,学习分析,emerging,"educational data mining",
教育,intelligent tutoring system,智能辅导系统,emerging,"AI tutor|adaptive learning",
教育,generative AI in education,生成式AI教育应用,emerging,"ChatGPT in education|LLM tutoring",
教育,flipped classroom,翻转课堂,mainstream,"blended learning",
教育,project based learning,项目式学习,mainstream,"PBL|inquiry learning",
教育,self regulated learning,自我调节学习,mainstream,"metacognition|SRL",
教育,formative assessment,形成性评价,mainstream,"assessment for learning",
教育,STEM identity,STEM认同,emerging,"science identity|belonging",
教育,educational equity,教育公平,task,"achievement gap|access to education",
教育,teacher professional development,教师专业发展,mainstream,"teacher training",
教育,computational thinking,计算思维,emerging,"coding education",
教育,dropout prediction,辍学预测,task,"student retention|at-risk prediction",
# ===== 社会学与政治学 =====
社科,social network analysis,社会网络分析,method,"network structure analysis",方法类
社科,computational social science,计算社会科学,emerging,"big data social research",
社科,misinformation,错误信息,emerging,"disinformation|fake news",
社科,polarization,极化,task,"political polarization|affective polarization",
社科,algorithmic bias,算法偏见,emerging,"algorithmic fairness|automated decision",
社科,social mobility,社会流动,task,"intergenerational mobility",
社科,migration,移民,mainstream,"immigration|internal migration",
社科,urbanization,城镇化,mainstream,"urban transformation",
社科,aging society,老龄化社会,task,"population aging|elderly care",
社科,collective action,集体行动,mainstream,"social movement|protest",
社科,public trust,公众信任,task,"institutional trust|trust in science",
社科,digital divide,数字鸿沟,task,"internet access inequality",
社科,ethnography,民族志,method,"qualitative fieldwork",方法类
# ===== 法学 =====
法学,AI governance,人工智能治理,emerging,"AI regulation|algorithmic accountability",
法学,data protection,数据保护,emerging,"GDPR|privacy law|personal information",
法学,platform liability,平台责任,emerging,"intermediary liability|content moderation law",
法学,intellectual property,知识产权,mainstream,"patent law|copyright",
法学,empirical legal studies,实证法学,method,"quantitative legal analysis",方法类
法学,judicial decision making,司法裁判,task,"judicial behavior|sentencing disparity",
法学,environmental law,环境法,mainstream,"climate litigation",
法学,comparative law,比较法,method,"legal comparison",方法类
法学,access to justice,司法可及性,task,"legal aid",
法学,regulatory sandbox,监管沙盒,emerging,"regtech|adaptive regulation",
# ===== 传播与媒体 =====
传播,computational communication,计算传播学,emerging,"automated content analysis",
传播,recommender system effect,推荐算法影响,emerging,"filter bubble|algorithmic curation",
传播,health communication,健康传播,mainstream,"risk communication",
传播,social media engagement,社交媒体参与,task,"user engagement|virality",
传播,media framing,媒介框架,mainstream,"framing analysis",
传播,influencer marketing,网红营销,emerging,"creator economy",
传播,short video,短视频,emerging,"TikTok|short-form video",
传播,news credibility,新闻可信度,quality,"source credibility|trust in media",
传播,content moderation,内容治理,emerging,"platform moderation|toxic content",
传播,digital literacy,数字素养,task,"media literacy",
# ===== 语言学 =====
语言,large language model linguistics,大模型语言学,emerging,"LLM linguistic capability",
语言,corpus linguistics,语料库语言学,method,"corpus-based analysis",方法类
语言,second language acquisition,二语习得,mainstream,"L2 learning",
语言,speech prosody,语音韵律,mainstream,"prosodic feature|intonation",
语言,language documentation,语言记录,task,"endangered language|low-resource language",
语言,sociolinguistic variation,社会语言变异,mainstream,"language variation",
语言,machine translation quality,机器翻译质量,task,"translation evaluation|MT quality",
语言,multilingual model,多语言模型,emerging,"cross-lingual transfer",
语言,psycholinguistics,心理语言学,mainstream,"language processing|eye-tracking reading",
语言,sign language,手语,task,"sign language recognition",
